court_id	docket_no	caption	media_url	media_size	counsel	issues	judges	argued	original_media_url
cafc	2005-7136	Kalin v DVA	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7136.mp3					2006-02-10	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7136.mp3
cafc	2005-1354	+Flex-Rest v Steelcase	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1354.mp3					2006-02-10	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1354.mp3
cafc	2005-7130	Coalition for Common Sense v VA	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7130.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7130.mp3
cafc	2005-5116	Citizens Financial Services v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5116.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5116.mp3
cafc	2005-1442	Consolidated Edison v Energy	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1442.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1442.mp3
cafc	2004-1620	+DSU Medical v JMS	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2004-1620.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2004-1620.mp3
cafc	2005-3132	Dominguez v USPS	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3132.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3132.mp3
cafc	2005-5125	JENTOFT v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5125.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5125.mp3
cafc	2005-1475	+Koito Manufacturing v Turn Key Tech	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1475.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1475.mp3
cafc	2002-1247	Rogers v DESA INTL	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2002-1247.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2002-1247.mp3
cafc	2005-3057	Rivera v DHS	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3057.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3057.mp3
cafc	2005-5120	City of Gettysburg v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5120.mp3					2006-03-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5120.mp3
